호선,역명,시간(분),거리(km),누계(km),이전역,상하행
1,도봉산,0:00,0,0,종점,하행
1,도봉,1:30,0,0,도봉산,하행
1,방학,1:30,0,0,도봉,하행
1,창동,2:00,0,0,방학,하행
1,녹천,2:00,0,0,창동,하행
1,월계,2:00,0,0,녹천,하행
1,광운대,1:30,0,0,월계,하행
1,석계,2:00,0,0,광운대,하행
1,신이문,2:00,0,0,석계,하행
1,외대앞,1:30,0,0,신이문,하행
1,회기,1:30,0,0,외대앞,하행
1,청량리,3:00,0,0,회기,하행
1,제기동,1:30,0,0,청량리,하행
1,신설동,1:30,0,0,제기동,하행
1,동묘앞,2:00,0,0,신설동,하행
1,동대문,1:30,0,0,동묘앞,하행
1,종로5가,1:30,0,0,동대문,하행
1,종로3가,1:30,0,0,종로5가,하행
1,종각,1:30,0,0,종로3가,하행
1,시청,2:30,0,0,종각,하행
1,서울,2:00,0,0,시청,하행
1,남영,3:00,0,0,서울,하행
1,용산,2:00,0,0,남영,하행
1,노량진,3:00,0,0,용산,하행
1,대방,2:00,0,0,노량진,하행
1,신길,1:30,0,0,대방,하행
1,영등포,2:30,0,0,신길,하행
1,신도림,2:00,0,0,영등포,하행
1,구로,2:00,0,0,신도림,하행
1,구일,2:00,0,0,구로,하행
1,개봉,2:00,0,0,구일,하행
1,오류동,2:00,0,0,개봉,하행
1,온수,2:30,0,0,오류동,하행
1,가산디지털단지,4:00,0,0,구로,하행
1,독산,2:30,0,0,가산디지털단지,하행
1,금천구청,2:00,0,0,독산,하행
2,을지로입구,1:30,0.7,0.7,시청,내선
2,을지로3가,1:00,0.8,1.5,을지로입구,내선
2,을지로4가,1:00,0.6,2.1,을지로3가,내선
2,동대문역사문화공원,1:30,1,3.1,을지로4가,내선
2,신당,1:30,0.9,4,동대문역사문화공원,내선
2,상왕십리,1:00,0.9,4.9,신당,내선
2,왕십리,1:00,0.8,5.7,상왕십리,내선
2,한양대,1:30,1,6.7,왕십리,내선
2,뚝섬,1:30,1.1,7.8,한양대,내선
2,성수,1:00,0.8,8.6,뚝섬,내선
2,건대입구,1:30,1.2,9.8,성수,내선
2,구의,2:00,1.6,11.4,건대입구,내선
2,강변,1:00,0.9,12.3,구의,내선
2,잠실나루,2:00,1.8,14.1,강변,내선
2,잠실,1:30,1,15.1,잠실나루,내선
2,잠실새내,1:30,1.2,16.3,잠실,내선
2,종합운동장,1:30,1.2,17.5,잠실새내,내선
2,삼성,1:30,1,18.5,종합운동장,내선
2,선릉,1:30,1.3,19.8,삼성,내선
2,역삼,1:30,1.2,21,선릉,내선
2,강남,1:00,0.8,21.8,역삼,내선
2,교대,1:30,1.2,23,강남,내선
2,서초,1:00,0.7,23.7,교대,내선
2,방배,2:00,1.7,25.4,서초,내선
2,사당,2:30,1.6,27,방배,내선
2,낙성대,2:00,1.7,28.7,사당,내선
2,서울대입구,1:30,1,29.7,낙성대,내선
2,봉천,1:00,1,30.7,서울대입구,내선
2,신림,1:30,1.1,31.8,봉천,내선
2,신대방,2:00,1.8,33.6,신림,내선
2,구로디지털단지,1:30,1.1,34.7,신대방,내선
2,대림,1:30,1.1,35.8,구로디지털단지,내선
2,신도림,2:30,1.8,37.6,대림,내선
2,문래,2:00,1.2,38.8,신도림,내선
2,영등포구청,1:00,0.9,39.7,문래,내선
2,당산,1:30,1.1,40.8,영등포구청,내선
2,합정,2:30,2,42.8,당산,내선
2,홍대입구,1:30,1.1,43.9,합정,내선
2,신촌,2:00,1.3,45.2,홍대입구,내선
2,이대,1:00,0.8,46,신촌,내선
2,아현,1:00,0.9,46.9,이대,내선
2,충정로,1:30,0.8,47.7,아현,내선
2,시청,1:30,1.1,48.8,충정로,내선
